"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","970,050,000",""
"SURVEY","2024","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,844,824,000",""
"SURVEY","2024","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","342,010,000",""
"SURVEY","2023","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,000,719,000",""
"SURVEY","2023","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","796,388,000",""
"SURVEY","2023","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,686,632,000",""
"SURVEY","2023","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","264,184,000",""
"SURVEY","2022","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,021,152,000",""
"SURVEY","2022","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","967,525,000",""
"SURVEY","2022","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,931,817,000",""
"SURVEY","2022","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","274,394,000",""
"SURVEY","2021","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,136,524,000",""
"SURVEY","2021","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","769,040,000",""
"SURVEY","2021","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,561,684,000",""
"SURVEY","2021","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","256,979,000",""
"SURVEY","2020","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,946,740,000",""
"SURVEY","2020","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,381,394,000",""
"SURVEY","2020","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,254,882,000",""
"SURVEY","2020","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","538,541,000",""
"SURVEY","2019","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,252,488,000",""
"SURVEY","2019","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,783,080,000",""
"SURVEY","2019","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,727,069,000",""
"SURVEY","2019","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","925,052,000",""
"SURVEY","2018","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,745,825,000",""
"SURVEY","2018","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,219,329,000",""
"SURVEY","2018","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,109,303,000",""
"SURVEY","2018","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","438,105,000",""
"SURVEY","2017","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,160,679,000",""
"SURVEY","2017","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","965,856,000",""
"SURVEY","2017","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,738,933,000",""
"SURVEY","2017","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","301,595,000",""
"SURVEY","2016","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,899,056,000",""
"SURVEY","2016","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","871,781,000",""
"SURVEY","2016","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,530,906,000",""
"SURVEY","2016","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","196,729,000",""
"SURVEY","2015","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,714,077,000",""
"SURVEY","2015","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","627,068,000",""
"SURVEY","2015","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,326,599,000",""
"SURVEY","2015","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","190,610,000",""
"SURVEY","2014","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,527,744,000",""
"SURVEY","2014","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","405,045,000",""
"SURVEY","2014","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","993,828,000",""
"SURVEY","2014","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","91,991,000",""
"SURVEY","2013","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,153,621,000",""
"SURVEY","2013","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","434,664,000",""
"SURVEY","2013","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","998,020,000",""
"SURVEY","2013","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","140,557,000",""
"SURVEY","2012","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,966,161,000",""
"SURVEY","2012","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","667,465,000",""
"SURVEY","2012","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,374,488,000",""
"SURVEY","2012","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","169,370,000",""
"SURVEY","2011","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,369,885,000",""
"SURVEY","2011","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","619,283,000",""
"SURVEY","2011","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,248,800,000",""
"SURVEY","2011","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","215,013,000",""
"SURVEY","2010","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,278,084,000",""
"SURVEY","2010","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","571,123,000",""
"SURVEY","2010","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,270,068,000",""
"SURVEY","2010","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","150,885,000",""
"SURVEY","2009","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,338,550,000",""
"SURVEY","2009","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","596,159,000",""
"SURVEY","2009","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,301,789,000",""
"SURVEY","2009","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","138,198,000",""
"SURVEY","2008","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,275,432,000",""
"SURVEY","2008","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","676,143,000",""
"SURVEY","2008","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,433,982,000",""
"SURVEY","2008","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","205,034,000",""
"SURVEY","2007","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,360,360,000",""
"SURVEY","2007","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,092,185,000",""
"SURVEY","2007","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,786,887,000",""
"SURVEY","2007","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","573,810,000",""
"SURVEY","2006","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,701,366,000",""
"SURVEY","2006","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","990,699,000",""
"SURVEY","2006","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,669,206,000",""
"SURVEY","2006","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","449,326,000",""
"SURVEY","2005","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,501,426,000",""
"SURVEY","2005","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","699,274,000",""
"SURVEY","2005","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,381,364,000",""
"SURVEY","2005","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","255,738,000",""
"SURVEY","2004","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,304,640,000",""
"SURVEY","2004","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","410,604,000",""
"SURVEY","2004","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","905,847,000",""
"SURVEY","2004","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","112,414,000",""
"SURVEY","2003","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,688,653,000",""
"SURVEY","2003","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","602,362,000",""
"SURVEY","2003","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,202,028,000",""
"SURVEY","2003","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","178,329,000",""
"SURVEY","2002","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,115,373,000",""
"SURVEY","2002","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","684,921,000",""
"SURVEY","2002","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,335,987,000",""
"SURVEY","2002","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","208,061,000",""
"SURVEY","2001","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,275,618,000",""
"SURVEY","2001","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","708,180,000",""
"SURVEY","2001","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,403,908,000",""
"SURVEY","2001","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","247,747,000",""
"SURVEY","2000","FIRST OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,239,991,000",""
"SURVEY","2000","FIRST OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","774,425,000",""
"SURVEY","2000","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,395,986,000",""
"SURVEY","2000","FIRST OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","290,162,000",""
